City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
183,badger,64.8,-147.5333,19.73,87,100,0.45,US,1691610749
184,cill airne,52.05,-9.5167,22.03,73,20,3.09,IE,1691611124
185,muisne,0.6,-80.0333,26.28,79,100,5.22,EC,1691611124
186,la'ie,21.6477,-157.9253,28.66,68,77,3.13,US,1691610792
187,grand gaube,-20.0064,57.6608,22.43,66,31,1.34,MU,1691611124
188,kanggye,40.9695,126.5852,20.54,96,100,0.63,KP,1691611124
189,haiku-pauwela,20.9219,-156.3051,27.36,65,20,8.23,US,1691610758
190,huilong,31.8111,121.655,28.85,91,1,5.58,CN,1691611124
191,belek,36.8628,31.0556,28.32,79,0,0.51,TR,1691611125
192,novo aripuana,-5.1206,-60.3797,37.28,29,81,1.63,BR,1691611125
193,caudete,38.7068,-0.9872,27.99,72,4,0.51,ES,1691611125
194,trashi yangtse,27.6116,91.498,20.31,95,98,0.81,BT,1691611125
195,burang,30.25,81.1667,11.76,86,100,1.9,CN,1691611125
196,cabo san lucas,22.8909,-109.9124,32.01,62,55,3.37,MX,1691610771
197,hithadhoo,-0.6,73.0833,27.1,76,46,1.95,MV,1691610769
198,miri,4.4148,114.0089,25.08,94,20,1.54,MY,1691611125
199,laufen,47.95,12.9333,14.99,98,75,1.54,DE,1691611125
200,ilebo,-4.3167,20.5833,25.11,58,51,0.8,CD,1691611126
201,izucar de matamoros,18.6,-98.4667,30.52,36,43,2.54,MX,1691611126
202,kashgar,39.4547,75.9797,26.56,29,0,5.0,CN,1691610768
203,dharur,18.8167,76.1167,22.69,81,100,4.95,IN,1691611126
204,new glasgow,45.5834,-62.6486,20.44,86,73,5.98,CA,1691610992
205,lihue,21.9789,-159.3672,29.58,69,75,9.77,US,1691610987
206,hermanus,-34.4187,19.2345,13.23,86,0,4.43,ZA,1691610766
207,kingston,17.997,-76.7936,33.53,69,20,9.77,JM,1691611007
208,ponta delgada,37.7333,-25.6667,23.4,94,75,3.09,PT,1691611126
209,acapulco de juarez,16.8634,-99.8901,30.33,69,100,1.98,MX,1691611127
210,darwin,-12.4611,130.8418,22.99,78,75,2.06,AU,1691610667
211,verkhnevilyuysk,63.4453,120.3167,12.68,66,0,2.51,RU,1691610777
212,nushki,29.5542,66.0215,31.09,11,83,1.25,PK,1691611127
213,awjilah,29.1081,21.2869,28.06,45,0,7.38,LY,1691611127
214,albemarle,35.3501,-80.2001,32.05,46,40,2.57,US,1691610900
215,bundu,23.1833,85.5833,26.12,85,75,1.86,IN,1691611127
216,vila franca do campo,37.7167,-25.4333,23.23,94,100,5.3,PT,1691610769
217,mutsu,41.2894,141.2169,23.81,94,30,1.21,JP,1691611127
218,puerto cabezas,14.0351,-83.3888,29.98,84,40,3.09,NI,1691611127
219,baki,-7.6128,110.7839,21.0,82,96,1.11,ID,1691611128
220,suva,-18.1416,178.4415,19.71,100,75,1.54,FJ,1691611128
221,holualoa,19.6228,-155.9522,28.21,72,20,4.12,US,1691610811
222,ancud,-41.8697,-73.8203,10.63,92,100,7.72,CL,1691610798
223,pisco,-13.7,-76.2167,20.57,83,100,3.09,PE,1691611122
224,rongelap,11.1635,166.8941,27.87,76,42,2.61,MH,1691610665
225,sharanga,57.1775,46.5396,18.07,75,0,2.85,RU,1691611128
226,urengoy,65.9667,78.3667,8.27,95,100,7.1,RU,1691611128
227,sinabang,2.4803,96.3801,25.38,88,100,4.87,ID,1691611128
